id,timestamp,classification,name,latitude,longitude,maximum sustained wind (mph),minimum central pressure (mb),movement speed (mph), movement direction (degrees)
AL032021,2021-06-17T21:00:00.000Z,Potential Tropical Cyclone,Three,22.9,-92.4,30,1008,9,360
AL032021,2021-06-18T00:00:00.000Z,Potential Tropical Cyclone,Three,23.2,-92.3,30,1007,9,010
AL032021,2021-06-18T03:00:00.000Z,Potential Tropical Cyclone,Three,23.5,-92.2,30,1007,9,360
AL032021,2021-06-18T06:00:00.000Z,Potential Tropical Cyclone,Three,24.0,-92.0,35,1007,9,360
AL032021,2021-06-18T09:00:00.000Z,Potential Tropical Cyclone,Three,25.2,-91.5,35,1007,14,360
AL032021,2021-06-18T12:00:00.000Z,Potential Tropical Cyclone,Three,26.0,-91.5,35,1007,14,360
AL032021,2021-06-18T15:00:00.000Z,Potential Tropical Cyclone,Three,26.5,-91.1,35,1007,14,15
AL032021,2021-06-18T18:00:00.000Z,Potential Tropical Cyclone,Three,27.3,-91.1,45,1007,14,15
AL032021,2021-06-18T21:00:00.000Z,Potential Tropical Cyclone,Three,27.9,-91.2,45,1006,16,5
AL032021,2021-06-19T00:00:00.000Z,Potential Tropical Cyclone,Three,28.3,-91.1,45,1007,16,5
AL032021,2021-06-19T03:00:00.000Z,Potential Tropical Cyclone,Three,28.9,-90.9,45,1007,13,10
AL032021,2021-06-19T06:00:00.000Z,Potential Tropical Cyclone,Three,29.1,-91.0,45,1006,10,360
AL032021,2021-06-19T09:00:00.000Z,Tropical Storm,Claudette,29.6,-90.7,45,1006,12,15
AL032021,2021-06-19T12:00:00.000Z,Tropical Storm,Claudette,30.4,-90.1,45,1006,12,15
AL032021,2021-06-19T15:00:00.000Z,Tropical Storm,Claudette,31.0,-89.7,40,1007,14,25
AL032021,2021-06-19T18:00:00.000Z,Tropical Storm,Claudette,31.8,-88.6,40,1007,14,30
AL032021,2021-06-19T21:00:00.000Z,Tropical Depression,Claudette,32.2,-87.9,35,1007,16,40
AL032021,2021-06-20T00:00:00.000Z,Tropical Depression,Claudette,32.4,-87.7,35,1005,15,40
AL032021,2021-06-20T03:00:00.000Z,Tropical Depression,Claudette,32.6,-87.0,30,1005,14,50
AL032021,2021-06-20T06:00:00.000Z,Tropical Depression,Claudette,32.9,-86.7,30,1006,13,55
AL032021,2021-06-20T09:00:00.000Z,Tropical Depression,Claudette,33.3,-85.8,30,1006,13,60
AL032021,2021-06-20T12:00:00.000Z,Tropical Depression,Claudette,33.7,-84.8,30,1007,13,60
AL032021,2021-06-20T15:00:00.000Z,Tropical Depression,Claudette,33.8,-84.2,30,1009,17,70
AL032021,2021-06-20T18:00:00.000Z,Tropical Depression,Claudette,33.9,-83.5,30,1009,17,70
AL032021,2021-06-20T21:00:00.000Z,Tropical Depression,Claudette,34.2,-82.5,30,1009,17,70
AL032021,2021-06-21T00:00:00.000Z,Tropical Depression,Claudette,34.4,-81.3,30,1008,17,70
AL032021,2021-06-21T03:00:00.000Z,Tropical Depression,Claudette,34.7,-80.4,35,1008,20,70
AL032021,2021-06-21T06:00:00.000Z,Tropical Depression,Claudette,35.1,-79.1,35,1008,20,70
AL032021,2021-06-21T09:00:00.000Z,Tropical Storm,Claudette,35.6,-77.6,40,1007,25,65
AL032021,2021-06-21T12:00:00.000Z,Tropical Storm,Claudette,36.4,-76.3,40,1007,28,65
AL032021,2021-06-21T15:00:00.000Z,Tropical Storm,Claudette,37.0,-75.0,40,1007,28,60
AL032021,2021-06-21T21:00:00.000Z,Tropical Storm,Claudette,37.5,-72.1,45,1004,29,60
AL032021,2021-06-22T03:00:00.000Z,Remnants Of,Claudette,39.0,-69.0,45,1004,29,60